reason_code,transaction,delivery,label
item_not_received,"{""transaction_id"": ""TXN0000043720"", ""amount"": 4152.0, ""merchant_category"": ""Fuel"", ""sender_bank"": ""SBI"", ""receiver_bank"": ""ICICI"", ""fraud_flag"": 0, ""timestamp"": ""2024-09-22 16:37:01""}","{""delivery_partner"": ""ecom express"", ""delivery_status"": ""delivered"", ""delayed"": ""no"", ""delivery_rating"": 4.0, ""region"": ""west""}",0
item_not_received,"{""transaction_id"": ""TXN0000096774"", ""amount"": 1873.0, ""merchant_category"": ""Other"", ""sender_bank"": ""SBI"", ""receiver_bank"": ""HDFC"", ""fraud_flag"": 0, ""timestamp"": ""2024-05-30 18:48:26""}","{""delivery_partner"": ""ecom express"", ""delivery_status"": ""delayed"", ""delayed"": ""yes"", ""delivery_rating"": 3.0, ""region"": ""west""}",1
item_not_received,"{""transaction_id"": ""TXN0000054706"", ""amount"": 110.0, ""merchant_category"": ""Entertainment"", ""sender_bank"": ""Yes Bank"", ""receiver_bank"": ""ICICI"", ""fraud_flag"": 0, ""timestamp"": ""2024-06-02 15:26:37""}","{""delivery_partner"": ""shadowfax"", ""delivery_status"": ""delayed"", ""delayed"": ""yes"", ""delivery_rating"": 2.0, ""region"": ""west""}",1
item_not_received,"{""transaction_id"": ""TXN0000040347"", ""amount"": 391.0, ""merchant_category"": ""Other"", ""sender_bank"": ""SBI"", ""receiver_bank"": ""IndusInd"", ""fraud_flag"": 0, ""timestamp"": ""2024-12-20 16:20:34""}","{""delivery_partner"": ""fedex"", ""delivery_status"": ""delivered"", ""delayed"": ""no"", ""delivery_rating"": 3.0, ""region"": ""central""}",0
item_not_received,"{""transaction_id"": ""TXN0000214671"", ""amount"": 400.0, ""merchant_category"": ""Other"", ""sender_bank"": ""HDFC"", ""receiver_bank"": ""SBI"", ""fraud_flag"": 0, ""timestamp"": ""2024-10-23 15:34:04""}","{""delivery_partner"": ""ekart"", ""delivery_status"": ""failed"", ""delayed"": ""yes"", ""delivery_rating"": 1.0, ""region"": ""west""}",1
item_not_received,"{""transaction_id"": ""TXN0000232125"", ""amount"": 229.0, ""merchant_category"": ""Utilities"", ""sender_bank"": ""Kotak"", ""receiver_bank"": ""Kotak"", ""fraud_flag"": 0, ""timestamp"": ""2024-10-20 05:14:48""}","{""delivery_partner"": ""shadowfax"", ""delivery_status"": ""delivered"", ""delayed"": ""no"", ""delivery_rating"": 5.0, ""region"": ""central""}",1
item_not_received,"{""transaction_id"": ""TXN0000036788"", ""amount"": 723.0, ""merchant_category"": ""Grocery"", ""sender_bank"": ""PNB"", ""receiver_bank"": ""HDFC"", ""fraud_flag"": 0, ""timestamp"": ""2024-06-21 10:13:42""}","{""delivery_partner"": ""shadowfax"", ""delivery_status"": ""delivered"", ""delayed"": ""no"", ""delivery_rating"": 5.0, ""region"": ""south""}",1
item_not_received,"{""transaction_id"": ""TXN0000236602"", ""amount"": 138.0, ""merchant_category"": ""Food"", ""sender_bank"": ""Kotak"", ""receiver_bank"": ""HDFC"", ""fraud_flag"": 0, ""timestamp"": ""2024-03-12 21:11:25""}","{""delivery_partner"": ""delhivery"", ""delivery_status"": ""delivered"", ""delayed"": ""no"", ""delivery_rating"": 4.0, ""region"": ""central""}",0
item_not_received,"{""transaction_id"": ""TXN0000214528"", ""amount"": 374.0, ""merchant_category"": ""Food"", ""sender_bank"": ""HDFC"", ""receiver_bank"": ""SBI"", ""fraud_flag"": 0, ""timestamp"": ""2024-11-30 15:26:22""}","{""delivery_partner"": ""blue dart"", ""delivery_status"": ""delayed"", ""delayed"": ""yes"", ""delivery_rating"": 2.0, ""region"": ""west""}",1
item_not_received,"{""transaction_id"": ""TXN0000087080"", ""amount"": 555.0, ""merchant_category"": ""Food"", ""sender_bank"": ""Kotak"", ""receiver_bank"": ""HDFC"", ""fraud_flag"": 0, ""timestamp"": ""2024-03-26 10:56:12""}","{""delivery_partner"": ""shadowfax"", ""delivery_status"": ""delayed"", ""delayed"": ""yes"", ""delivery_rating"": 2.0, ""region"": ""north""}",1
